Place1,Place2,Distance (km)
Napoli,AC Milan,660.849346236503
Napoli,Sampdoria,586.0743336614398
Napoli,Hellas Verona,575.0602598611649
Napoli,Lecce,343.76141196480023
Napoli,Brescia,617.0745651037514
Napoli,Spezia,512.020101625628
Napoli,Crotone,316.3671931601609
Napoli,Benevento,58.963219329549226
Napoli,Salernitana,56.979361986168875
Napoli,Venezia,532.2189412838073
Napoli,Monza,660.5447712582802
Napoli,Cremonese,586.7809430631643
SPAL,Cagliari,658.9914495985006
SPAL,Genoa,215.9119246020419
SPAL,Inter Milan,207.9762858475718
SPAL,Frosinone,382.40330311519904
SPAL,Udinese,185.82116889338658
SPAL,Fiorentina,120.54742586191246
SPAL,AS Roma,330.0713529202825
SPAL,AC Milan,207.9762858475718
SPAL,Sampdoria,215.9119246020419
SPAL,Hellas Verona,83.08634113559629
SPAL,Lecce,734.7750165766447
SPAL,Brescia,134.87112818319474
SPAL,Spezia,164.98601687453112
SPAL,Crotone,785.705143955294
SPAL,Benevento,487.87878244868125
SPAL,Salernitana,535.1093690546014
SPAL,Venezia,88.32241624750588
SPAL,Monza,198.6317395497172
SPAL,Cremonese,128.4621366458358
Cagliari,Genoa,579.631362219898
Cagliari,Inter Milan,697.4502556886713
Cagliari,Frosinone,446.2290267931867
Cagliari,Udinese,833.6223808726526
Cagliari,Fiorentina,539.3545969382538
Cagliari,AS Roma,413.5917654589295
Cagliari,AC Milan,697.4502556886713
Cagliari,Sampdoria,579.631362219898
Cagliari,Hellas Verona,708.8513602382753
Cagliari,Lecce,787.4421309580182
Cagliari,Brescia,713.4460926475837
Cagliari,Spezia,547.3620764334329
Cagliari,Crotone,689.7655104844692
Cagliari,Benevento,525.6860517736316
Cagliari,Salernitana,511.81904916884906
Cagliari,Venezia,741.0234414497808
Cagliari,Monza,709.2132723078859
Cagliari,Cremonese,663.9916081414075
Genoa,Inter Milan,118.77110409643909
Genoa,Frosinone,471.44722801471914
Genoa,Udinese,381.26174910079465
Genoa,Fiorentina,199.49234412689867
Genoa,AS Roma,396.34249898601246
Genoa,AC Milan,118.77110409643909
Genoa,Sampdoria,0.0
Genoa,Hellas Verona,195.31798355125082
Genoa,Lecce,884.3368821131736
Genoa,Brescia,163.4392331682595
Genoa,Spezia,76.77522902512604
Genoa,Crotone,900.5929013678614
Genoa,Benevento,601.386008316321
Genoa,Salernitana,638.5576741660539
Genoa,Venezia,291.8249944553993
Genoa,Monza,132.64309767165267
Genoa,Cremonese,117.49777010636645
Inter Milan,Frosinone,545.3887253773341
Inter Milan,Udinese,324.1401921212782
Inter Milan,Fiorentina,254.93627880825622
Inter Milan,AS Roma,476.62238398594366
Inter Milan,AC Milan,0.0
Inter Milan,Sampdoria,118.77110409643909
Inter Milan,Hellas Verona,144.56024644073023
Inter Milan,Lecce,933.4477350725225
Inter Milan,Brescia,87.76252878792033
Inter Milan,Spezia,162.32599838976228
Inter Milan,Crotone,968.6710778988463
Inter Milan,Benevento,667.3216108452865
Inter Milan,Salernitana,709.5694423502174
Inter Milan,Venezia,253.69079313953554
Inter Milan,Monza,18.65070217537393
Inter Milan,Cremonese,80.8972238833692
Frosinone,Udinese,494.2456704207031
Frosinone,Fiorentina,291.15062905847634
Frosinone,AS Roma,79.4180816798998
Frosinone,AC Milan,545.3887253773341
Frosinone,Sampdoria,471.44722801471914
Frosinone,Hellas Verona,463.1306037015621
Frosinone,Lecce,434.58303171135617
Frosinone,Brescia,503.22157450300466
Frosinone,Spezia,396.90510752009203
Frosinone,Crotone,429.33079565088906
Frosinone,Benevento,134.92666201878407
Frosinone,Salernitana,167.1767237740204
Frosinone,Venezia,428.535812378722
Frosinone,Monza,545.2799301366434
Frosinone,Cremonese,471.78510167873566
Udinese,Fiorentina,297.09159095287526
Udinese,AS Roma,464.67909792520675
Udinese,AC Milan,324.1401921212782
Udinese,Sampdoria,381.26174910079465
Udinese,Hellas Verona,187.85001575041215
Udinese,Lecce,753.9204409644707
Udinese,Brescia,237.09978115772248
Udinese,Spezia,345.84484508629413
Udinese,Crotone,841.399153008461
Udinese,Benevento,566.183362811258
Udinese,Salernitana,618.0763951091938
Udinese,Venezia,97.50669933908198
Udinese,Monza,307.372556556868
Udinese,Cremonese,268.11112437882707
Fiorentina,AS Roma,226.4069458907565
Fiorentina,AC Milan,254.93627880825622
Fiorentina,Sampdoria,199.49234412689867
Fiorentina,Hellas Verona,185.5363832089198
Fiorentina,Lecce,687.013373142603
Fiorentina,Brescia,215.481679666035
Fiorentina,Spezia,123.60110987801482
Fiorentina,Crotone,714.0838811005933
Fiorentina,Benevento,412.74610214888946
Fiorentina,Salernitana,454.6353855025822
Fiorentina,Venezia,202.15065357860456
Fiorentina,Monza,254.18289151948736
Fiorentina,Cremonese,180.77020457862042
AS Roma,AC Milan,476.62238398594366
AS Roma,Sampdoria,396.34249898601246
AS Roma,Hellas Verona,407.0200194793922
AS Roma,Lecce,513.3806815324028
AS Roma,Brescia,441.7194112926315
AS Roma,Spezia,323.2861187529619
AS Roma,Crotone,506.45581295819454
AS Roma,Benevento,214.34374467492242
AS Roma,Salernitana,244.63907146301122
AS Roma,Venezia,388.23996014146553
AS Roma,Monza,478.01237836067224
AS Roma,Cremonese,406.32644853226196
AC Milan,Sampdoria,118.77110409643909
AC Milan,Hellas Verona,144.56024644073023
AC Milan,Lecce,933.4477350725225
AC Milan,Brescia,87.76252878792033
AC Milan,Spezia,162.32599838976228
AC Milan,Crotone,968.6710778988463
AC Milan,Benevento,667.3216108452865
AC Milan,Salernitana,709.5694423502174
AC Milan,Venezia,253.69079313953554
AC Milan,Monza,18.65070217537393
AC Milan,Cremonese,80.8972238833692
Sampdoria,Hellas Verona,195.31798355125082
Sampdoria,Lecce,884.3368821131736
Sampdoria,Brescia,163.4392331682595
Sampdoria,Spezia,76.77522902512604
Sampdoria,Crotone,900.5929013678614
Sampdoria,Benevento,601.386008316321
Sampdoria,Salernitana,638.5576741660539
Sampdoria,Venezia,291.8249944553993
Sampdoria,Monza,132.64309767165267
Sampdoria,Cremonese,117.49777010636645
Hellas Verona,Lecce,816.0297303588028
Hellas Verona,Brescia,59.11676950791018
Hellas Verona,Spezia,174.28747168936985
Hellas Verona,Crotone,868.7899404633254
Hellas Verona,Benevento,570.8007652680996
Hellas Verona,Salernitana,617.7396526288891
Hellas Verona,Venezia,109.19564550706238
Hellas Verona,Monza,130.79351035496938
Hellas Verona,Cremonese,80.26334441823158
Lecce,Brescia,869.5125678196695
Lecce,Spezia,807.5664986169762
Lecce,Crotone,170.73490960929863
Lecce,Benevento,301.2937461956068
Lecce,Salernitana,288.61616036843793
Lecce,Venezia,737.2973532632709
Lecce,Monza,928.1325705372836
Lecce,Cremonese,853.1916060271457
Brescia,Spezia,166.67011112449245
Brescia,Crotone,916.5821392197354
Brescia,Benevento,616.7305982320034
Brescia,Salernitana,662.131823297619
Brescia,Venezia,166.9885424828286
Brescia,Monza,72.5226246071856
Brescia,Cremonese,50.402770128518505
Spezia,Crotone,825.5230733627096
Spezia,Benevento,525.6391290928585
Spezia,Salernitana,563.7482739210847
Spezia,Venezia,250.22923654264463
Spezia,Monza,169.26181858282902
Spezia,Cremonese,116.73439358563684
Crotone,Benevento,301.3598015252564
Crotone,Salernitana,262.16238676147594
Crotone,Venezia,806.5425413231292
Crotone,Monza,966.5782619493917
Crotone,Cremonese,891.6279662877554
Benevento,Salernitana,52.4278260369378
Benevento,Venezia,517.5445208980664
Benevento,Monza,665.3673271859494
Benevento,Cremonese,590.5233354085298
Salernitana,Venezia,567.7582453376482
Salernitana,Monza,708.4407100990138
Salernitana,Cremonese,634.0374246434018
Venezia,Monza,239.42843184847737
Venezia,Cremonese,185.5077746681497
Monza,Cremonese,75.26359128908193
